Rank,Institution,Popular Acronym,Location
1,Massachusetts Institute of Technology,MIT,"Cambridge, United States"
2,Carnegie Mellon University,,"Pittsburgh, United States"
3,Georgia Institute of Technology,,"Atlanta, United States"
4,Stanford University,,"Palo Alto, United States"
5,"University of California, Berkeley",UC Berkeley,"Berkeley, United States"
6,University of Illinois Urbana-Champaign,UIC,"Chicago, United States"
7,"University of California, Santa Barbara",UCSB,"Santa Barbara, United States"
8,University of Michigan,,"Ann Arbor, Ann Arbor, United States"
9,University of Southern California,,"Marina del Rey, United States"
10,Texas A&M University,,"College Station, United States"
11,Harvard University,,"Cambridge, United States"
12,Pennsylvania State University,,"University Park, United States"
13,University of Texas at Austin,UT Austin,"Austin, United States"
14,"University of Maryland, College Park",,United States
15,University of Washington,,"Seattle, Seattle, United States"
16,"University of California, San Diego",UCSD,"San Diego, United States"
17,"University of California, Los Angeles",UCLA,"Los Angeles, United States"
18,New York University,,"New York, United States"
19,Arizona State University,,"Tempe, United States"
20,Virginia Tech,,"Blacksburg, United States"
21,Johns Hopkins University,,"Laurel, United States"
22,Cornell University,,"Ithaca, United States"
23,University of Minnesota,,"Twin Cities, Minneapolis, United States"
24,University of Florida,,"Gainesville, United States"
25,Ohio State University,,"Columbus, United States"
26,Columbia University,,"in the City of New York, New York, United States"
27,University of Pennsylvania,,"Philadelphia, United States"
28,Duke University,,"Durham, United States"
29,University of Wisconsin-Madison,,"Madison, United States"
30,Northwestern University,,"Evanston, United States"
31,Michigan State University,,"East Lansing, United States"
32,Princeton University,,"Princeton, United States"
33,University of Pittsburgh,,"Pittsburgh, United States"
34,North Carolina State University,,"Raleigh, United States"
35,"Rutgers, The State University of New Jersey",,"Freehold, United States"
36,University of Texas at Dallas,,"Richardson, United States"
37,University of Central Florida,,"Orlando, United States"
38,"University of California, Irvine",UC Irvine,"Orange, United States"
39,Northeastern University,,"Boston, United States"
40,University at Buffalo,,"State University of New York, Buffalo, United States"
41,California Institute of Technology,Caltech,"Pasadena, United States"
42,"University of California, Davis",UC Davis,"Davis, United States"
43,University of Colorado at Boulder,,"Boulder, United States"
44,University of Arizona,,"Tucson, United States"
45,University of North Carolina at Chapel Hill,UNC,"Chapel Hill, United States"
46,University of Houston,,"Houston, United States"
47,Iowa State University,,"Ames, United States"
48,University of Illinois at Chicago,,"Chicago, United States"
49,Stony Brook University,,"Stony Brook, United States"
50,University of Virginia,,"Charlottesville, United States"
51,University of Utah,,"Salt Lake City, United States"
52,Boston University,,"Boston, United States"
53,George Mason University,,"Fairfax Campus, Fairfax, United States"
54,University of Massachusetts,,"Boston, United States"
55,Yale University,,"New Haven, United States"
56,University of Connecticut,,"Storrs, United States"
57,University of Texas at Arlington,UT Arlington,"Arlington, United States"
58,City University of New York,,"New York, United States"
59,Rensselaer Polytechnic Institute,,"Troy, United States"
60,University of Notre Dame,,"Notre Dame, United States"
61,Indiana University ,,"Bloomington, United States"
62,New Jersey Institute of Technology,,"Newark, United States"
63,Rochester Institute of Technology,Rochester Tech,"Rochester, United States"
64,University of Chicago,,"Chicago, United States"
65,University of Delaware,,"Newark, United States"
66,Oregon State University,,"Corvallis, United States"
67,Rice University,,"Houston, United States"
68,Worcester Polytechnic Institute,,"Worcester, United States"
69,Emory University,,"Atlanta, United States"
70,"University of California, Riverside",,"Riverside, United States"
71,Temple University,,"Philadelphia, United States"
72,"University of California, Santa Cruz",,"Riverside, United States"
73,Stevens Institute of Technology,,"Hoboken, United States"
74,University of Rochester,,"Rochester, United States"
75,Wayne State University,,"Detroit, United States"
76,Brown University,,"Providence, United States"
77,Drexel University,,"Philadelphia, United States"
78,University of South Carolina,,"Columbia, United States"
79,University of Kentucky,,"Lexington, United States"
80,University of Georgia,,"Athens, United States"
81,Illinois Institute of Technology,,"Chicago, United States"
82,West Virginia University,,"Morgantown, United States"
83,Purdue University,,"West Lafayette, United States"
84,Lehigh University,,"Bethlehem, United States"
85,Brigham Young University,,"Provo, United States"
86,University of North Texas,,"Denton, United States"
87,Tufts University,,"Medford, United States"
88,Washington University in St. Louis,,"St. Louis, United States"
89,"University of California, Merced",UC Merced,"Merced, United States"
90,Binghamton University,,"Binghamton, United States"
91,Dartmouth College,,"Hanover, United States"
92,Washington State University,,"Pullman, United States"
93,University of Massachusetts Lowell,,"Lowell, United States"
94,Colorado School of Mines,,"Golden, United States"
95,Georgetown University,,"Washington, D.C., United States"
96,"University of Maryland, Baltimore County",,"Baltimore, United States"
97,University of Oregon,,"Eugene, United States"
98,Tulane University,,"New Orleans, United States"
99,Brandeis University,,"Waltham, United States"
100,University of New Hampshire Durham,,"Durham, United States"
